iter	Passed	Remaining
0	3	3090
1	5	2761
2	7	2607
3	10	2621
4	13	2590
5	15	2596
6	18	2577
7	20	2549
8	22	2531
9	25	2507
10	28	2526
11	30	2538
12	33	2549
13	35	2528
14	38	2543
15	41	2537
16	43	2531
17	46	2531
18	48	2519
19	51	2517
20	53	2511
21	56	2498
22	58	2502
23	61	2495
24	63	2493
25	66	2490
26	68	2482
27	71	2480
28	74	2481
29	76	2482
30	79	2477
31	81	2476
32	84	2471
33	87	2474
34	89	2473
35	92	2478
36	95	2475
37	97	2473
38	100	2472
39	102	2469
40	105	2472
41	108	2469
42	110	2464
43	113	2462
44	115	2458
45	118	2454
46	120	2451
47	123	2446
48	125	2443
49	128	2442
50	131	2441
51	133	2439
52	136	2435
53	139	2436
54	141	2433
55	144	2429
56	146	2428
57	149	2425
58	151	2415
59	153	2412
60	156	2413
61	159	2410
62	161	2405
63	164	2403
64	166	2399
65	169	2398
66	172	2395
67	174	2391
68	177	2391
69	179	2389
70	182	2385
71	184	2382
72	187	2377
73	189	2374
74	192	2371
75	194	2369
76	197	2369
77	200	2367
78	202	2365
79	205	2362
80	208	2360
81	210	2356
82	213	2353
83	215	2352
84	218	2348
85	220	2346
86	223	2343
87	225	2340
88	228	2338
89	231	2337
90	233	2333
91	235	2329
92	238	2324
93	241	2322
94	243	2321
95	246	2317
96	248	2314
97	251	2310
98	253	2307
99	255	2303
100	258	2299
101	260	2297
102	263	2295
103	266	2293
104	268	2290
105	271	2286
106	273	2284
107	276	2280
108	278	2277
109	281	2275
110	283	2273
111	286	2270
112	288	2267
113	291	2263
114	293	2259
115	296	2257
116	298	2253
117	301	2249
118	303	2247
119	305	2243
120	308	2240
121	311	2238
122	313	2236
123	316	2234
124	318	2232
125	321	2230
126	324	2229
127	326	2222
128	328	2218
129	331	2215
130	333	2212
131	336	2209
132	338	2206
133	341	2204
134	343	2201
135	346	2199
136	348	2196
137	351	2193
138	353	2191
139	356	2188
140	358	2185
141	361	2182
142	363	2179
143	366	2177
144	368	2175
145	371	2173
146	374	2170
147	376	2167
148	379	2165
149	381	2161
150	383	2158
151	386	2156
152	389	2154
153	391	2151
154	394	2148
155	396	2146
156	399	2144
157	401	2141
158	404	2139
159	406	2136
160	409	2133
