iter	Passed	Remaining
0	2	2623
1	4	2398
2	6	2298
3	9	2263
4	11	2278
5	13	2259
6	15	2247
7	17	2229
8	20	2235
9	22	2224
10	24	2226
11	27	2265
12	30	2291
13	32	2295
14	34	2288
15	37	2279
16	39	2273
17	41	2281
18	44	2272
19	46	2275
20	48	2270
21	50	2263
22	53	2256
23	55	2255
24	57	2259
25	60	2260
26	62	2254
27	64	2250
28	67	2246
29	69	2240
30	71	2238
31	73	2236
32	76	2231
33	78	2227
34	80	2225
35	82	2221
36	85	2222
37	87	2221
38	90	2220
39	92	2218
40	94	2216
41	97	2212
42	99	2208
43	101	2205
44	103	2203
45	106	2199
46	108	2196
47	110	2193
48	112	2191
49	115	2189
50	117	2188
51	120	2187
52	122	2183
53	124	2179
54	127	2191
55	129	2187
56	132	2185
57	134	2182
58	136	2171
59	138	2169
60	140	2166
61	142	2163
62	145	2162
63	147	2161
64	150	2159
65	152	2156
66	154	2155
67	157	2152
68	159	2149
69	161	2147
70	163	2144
71	166	2141
72	168	2137
73	170	2133
74	172	2131
75	175	2128
76	177	2130
77	180	2128
78	182	2125
79	184	2122
80	186	2120
81	189	2117
82	191	2117
83	194	2118
84	196	2115
85	198	2112
86	200	2108
87	203	2105
88	205	2103
89	207	2103
90	210	2099
91	212	2096
92	214	2093
93	216	2089
94	219	2086
95	221	2086
96	223	2082
97	225	2079
98	228	2077
99	230	2074
100	232	2071
101	234	2068
102	237	2067
103	239	2064
104	241	2062
105	244	2059
106	246	2055
107	248	2053
108	250	2051
109	253	2048
110	255	2046
111	257	2044
112	259	2040
113	262	2037
114	264	2034
115	266	2032
116	268	2029
117	271	2027
118	273	2024
119	275	2022
120	278	2019
121	280	2017
122	282	2015
123	284	2013
124	287	2011
125	289	2007
126	291	2005
127	293	1998
128	295	1995
129	297	1994
130	300	1991
131	302	1988
132	304	1985
133	306	1982
134	309	1980
135	311	1977
136	313	1975
137	316	1973
138	318	1971
139	320	1969
140	322	1966
141	324	1963
142	327	1961
143	329	1959
144	331	1956
145	334	1954
146	336	1951
147	338	1949
148	340	1947
149	343	1944
150	345	1941
151	347	1939
152	349	1937
153	352	1934
154	354	1931
155	356	1929
156	358	1927
157	361	1924
158	363	1922
159	365	1919
160	367	1917
161	370	1914
162	372	1912
163	374	1910
164	377	1908
165	379	1905
166	381	1903
167	382	1896
168	385	1894
169	387	1891
170	389	1889
171	392	1887
172	394	1884
173	396	1882
174	398	1879
175	400	1877
176	403	1876
177	405	1874
178	408	1871
179	410	1869
180	412	1867
181	415	1865
182	417	1863
183	419	1861
184	421	1855
185	423	1853
186	425	1850
187	427	1848
188	430	1846
189	432	1843
190	434	1840
191	436	1838
192	439	1835
193	441	1833
194	443	1831
195	445	1828
196	448	1826
197	450	1824
198	452	1822
199	454	1819
200	457	1817
201	459	1815
202	461	1813
203	464	1810
204	466	1808
205	468	1805
206	470	1803
207	472	1800
208	475	1798
209	477	1796
210	479	1794
211	482	1791
212	484	1789
213	486	1787
214	488	1785
215	491	1782
216	493	1780
217	495	1777
218	497	1775
219	500	1773
220	502	1770
221	504	1768
222	506	1766
223	509	1764
224	511	1762
225	514	1760
226	516	1758
227	518	1755
228	520	1753
229	523	1751
230	525	1749
231	527	1747
232	530	1746
233	532	1744
234	535	1742
235	537	1740
236	539	1738
237	542	1735
238	544	1734
239	546	1731
240	549	1729
241	551	1727
242	553	1724
243	556	1722
244	558	1721
245	560	1719
246	563	1716
247	565	1714
248	567	1712
249	570	1710
250	572	1707
251	574	1705
252	576	1703
253	579	1701
254	581	1698
255	583	1696
256	586	1695
257	588	1692
258	590	1690
259	593	1687
260	595	1685
261	597	1683
262	600	1681
263	602	1679
264	604	1677
265	606	1674
266	609	1672
267	611	1669
268	613	1667
269	616	1665
270	618	1663
271	620	1661
272	623	1659
273	625	1657
274	627	1655
275	630	1653
276	632	1651
277	635	1649
278	637	1647
279	639	1645
280	642	1643
281	644	1641
282	647	1639
283	649	1637
284	651	1635
285	654	1632
286	656	1630
287	658	1628
288	660	1625
289	663	1623
290	665	1621
291	667	1619
292	670	1617
293	672	1614
294	675	1613
295	677	1611
296	679	1608
297	681	1606
298	684	1604
299	686	1601
300	688	1599
301	690	1596
302	693	1594
303	695	1591
304	697	1589
305	699	1586
306	701	1584
307	704	1582
308	706	1580
309	708	1577
310	711	1575
311	713	1572
312	715	1570
313	717	1568
314	720	1565
315	722	1563
316	724	1560
317	726	1558
318	728	1556
319	731	1553
320	733	1551
321	735	1548
322	737	1545
323	739	1543
324	742	1541
325	744	1539
326	746	1537
327	749	1534
328	751	1532
329	753	1530
330	756	1528
331	758	1525
332	760	1523
333	762	1521
334	765	1519
335	767	1516
336	769	1514
337	771	1511
338	774	1509
339	776	1506
340	778	1504
341	780	1502
342	783	1500
343	785	1497
344	787	1495
345	790	1493
346	792	1491
347	794	1488
348	797	1486
349	799	1484
350	801	1482
351	803	1479
352	806	1477
353	808	1475
354	810	1473
355	813	1470
356	815	1468
357	817	1465
358	819	1463
359	822	1461
360	824	1459
361	826	1456
362	828	1454
363	831	1452
364	833	1449
365	835	1447
366	837	1445
367	840	1443
368	842	1441
369	845	1439
370	847	1437
371	850	1435
372	852	1432
373	854	1430
374	856	1427
375	858	1425
376	861	1423
377	863	1420
378	865	1418
379	868	1416
380	870	1414
381	872	1412
382	875	1409
383	877	1407
384	879	1404
385	881	1402
386	883	1400
387	886	1397
388	888	1395
389	890	1393
390	892	1390
391	895	1388
392	897	1386
393	899	1383
394	901	1381
395	904	1379
396	906	1376
397	908	1374
398	911	1372
399	913	1369
400	915	1367
401	917	1365
402	919	1362
403	922	1360
404	924	1358
405	926	1355
406	928	1353
407	931	1351
408	933	1349
409	936	1346
410	938	1345
411	940	1342
412	943	1340
413	945	1337
414	947	1335
415	949	1333
416	952	1331
417	954	1328
418	956	1326
419	958	1324
420	961	1321
421	963	1319
422	965	1317
423	968	1315
424	970	1313
425	972	1310
426	975	1308
427	977	1306
428	979	1303
429	981	1301
430	984	1299
431	986	1296
432	988	1294
433	990	1292
434	993	1289
435	995	1287
436	997	1285
437	1000	1283
438	1002	1280
439	1004	1278
440	1006	1276
441	1009	1274
442	1011	1271
443	1013	1269
444	1016	1267
445	1018	1264
446	1020	1262
447	1022	1260
448	1025	1258
449	1027	1255
450	1029	1253
451	1031	1251
452	1034	1248
453	1036	1246
454	1038	1244
455	1041	1242
456	1044	1240
457	1046	1238
458	1048	1235
459	1050	1233
460	1052	1231
461	1055	1228
462	1057	1226
463	1059	1224
464	1062	1222
465	1064	1219
466	1066	1217
467	1068	1215
468	1071	1213
469	1073	1210
470	1076	1208
471	1078	1206
472	1080	1204
473	1082	1201
474	1085	1199
475	1087	1197
476	1090	1195
477	1092	1193
478	1094	1190
479	1096	1188
480	1099	1186
481	1101	1184
482	1104	1181
483	1106	1179
484	1108	1177
485	1110	1174
486	1113	1172
487	1115	1170
488	1117	1168
489	1119	1165
490	1122	1163
491	1124	1161
492	1126	1158
493	1129	1156
494	1131	1154
495	1134	1152
496	1136	1150
497	1138	1147
498	1140	1145
499	1143	1143
500	1145	1140
501	1147	1138
502	1150	1136
503	1152	1134
504	1154	1131
505	1157	1129
506	1159	1127
507	1161	1125
508	1164	1123
509	1166	1121
510	1169	1118
511	1171	1116
512	1173	1114
513	1176	1111
514	1178	1109
515	1180	1107
516	1182	1105
517	1185	1102
518	1187	1100
519	1189	1098
520	1192	1096
521	1195	1094
522	1197	1092
523	1199	1089
524	1201	1087
525	1204	1085
526	1206	1082
527	1208	1080
528	1211	1078
529	1213	1076
530	1216	1074
531	1218	1071
532	1220	1069
533	1223	1067
534	1225	1064
535	1227	1062
536	1229	1060
537	1232	1058
538	1234	1055
539	1236	1053
540	1239	1051
541	1241	1048
542	1243	1046
543	1245	1044
544	1248	1041
545	1250	1039
546	1252	1037
547	1255	1035
548	1257	1032
549	1259	1030
550	1261	1028
551	1263	1025
552	1266	1023
553	1268	1021
554	1270	1018
555	1273	1016
556	1275	1014
557	1277	1012
558	1280	1010
559	1282	1008
560	1285	1005
561	1287	1003
562	1289	1001
563	1292	998
564	1294	996
565	1296	994
566	1298	991
567	1300	989
568	1303	987
569	1305	985
570	1308	983
571	1310	980
572	1313	978
573	1315	976
574	1317	974
575	1320	971
576	1322	969
577	1324	967
578	1326	964
579	1329	962
580	1331	960
581	1333	958
582	1336	955
583	1339	953
584	1341	951
585	1343	949
586	1346	947
587	1348	944
588	1350	942
589	1352	940
590	1355	937
591	1357	935
592	1359	933
593	1362	930
594	1364	928
595	1366	926
596	1368	924
597	1371	921
598	1373	919
599	1375	917
600	1378	914
601	1380	912
602	1382	910
603	1384	908
604	1387	905
605	1389	903
606	1392	901
607	1394	898
608	1396	896
609	1398	894
610	1400	891
611	1403	889
612	1405	887
613	1407	885
614	1410	882
615	1412	880
616	1414	878
617	1416	875
618	1419	873
619	1421	871
620	1423	868
621	1425	866
622	1428	864
623	1430	861
624	1432	859
625	1435	857
626	1437	855
627	1440	853
628	1442	850
629	1444	848
630	1447	846
631	1449	843
632	1451	841
633	1454	839
634	1456	837
635	1458	834
636	1460	832
637	1463	830
638	1465	827
639	1467	825
640	1469	823
641	1472	820
642	1474	818
643	1476	816
644	1478	813
645	1481	811
646	1483	809
647	1485	807
648	1488	804
649	1490	802
650	1492	800
651	1495	798
652	1497	795
653	1499	793
654	1501	791
655	1504	788
656	1506	786
657	1508	784
658	1511	781
659	1513	779
660	1515	777
661	1518	775
662	1520	772
663	1522	770
664	1524	768
665	1527	765
666	1529	763
667	1531	761
668	1534	758
669	1536	756
670	1538	754
671	1540	752
672	1542	749
673	1545	747
674	1547	745
675	1549	742
676	1552	740
677	1554	738
678	1556	735
679	1559	733
680	1561	731
681	1563	729
682	1565	726
683	1568	724
684	1570	722
685	1572	719
686	1574	717
687	1576	715
688	1579	712
689	1581	710
690	1583	708
691	1586	706
692	1588	703
693	1591	701
694	1593	699
695	1595	697
696	1598	694
697	1600	692
698	1602	690
699	1605	688
700	1607	685
701	1610	683
702	1612	681
703	1614	678
704	1617	676
705	1619	674
706	1621	671
707	1623	669
708	1626	667
709	1628	665
710	1630	662
711	1632	660
712	1635	658
713	1637	656
714	1640	653
715	1642	651
716	1644	649
717	1646	646
718	1649	644
719	1651	642
720	1653	639
721	1656	637
722	1658	635
723	1660	633
724	1663	630
725	1665	628
726	1667	626
727	1669	623
728	1672	621
729	1674	619
730	1676	617
731	1679	614
732	1681	612
733	1683	610
734	1686	607
735	1688	605
736	1690	603
737	1693	601
738	1695	598
739	1697	596
740	1700	594
741	1702	591
742	1704	589
743	1706	587
744	1709	585
745	1711	582
746	1713	580
747	1716	578
748	1718	575
749	1720	573
750	1723	571
751	1725	569
752	1727	566
753	1730	564
754	1732	562
755	1734	559
756	1737	557
757	1739	555
758	1742	553
759	1744	550
760	1746	548
761	1749	546
762	1751	544
763	1753	541
764	1756	539
765	1758	537
766	1760	534
767	1762	532
768	1765	530
769	1767	527
770	1769	525
771	1772	523
772	1774	521
773	1776	518
774	1779	516
775	1781	514
776	1784	512
777	1786	509
778	1788	507
779	1790	505
780	1792	502
781	1795	500
782	1797	498
783	1799	495
784	1801	493
785	1804	491
786	1806	488
787	1808	486
788	1811	484
789	1813	482
790	1815	479
791	1818	477
792	1820	475
793	1822	472
794	1824	470
795	1827	468
796	1829	466
797	1832	463
798	1834	461
799	1836	459
800	1839	456
801	1841	454
802	1843	452
803	1846	450
804	1848	447
805	1850	445
806	1853	443
807	1855	440
808	1857	438
809	1860	436
810	1862	434
811	1864	431
812	1867	429
813	1869	427
814	1872	424
815	1874	422
816	1876	420
817	1878	418
818	1881	415
819	1883	413
820	1885	411
821	1888	408
822	1890	406
823	1892	404
824	1894	401
825	1897	399
826	1899	397
827	1901	395
828	1903	392
829	1906	390
830	1908	388
831	1910	385
832	1912	383
833	1915	381
834	1917	378
835	1920	376
836	1922	374
837	1924	372
838	1926	369
839	1929	367
840	1931	365
841	1933	362
842	1936	360
843	1938	358
844	1940	355
845	1942	353
846	1945	351
847	1947	349
848	1949	346
849	1952	344
850	1954	342
851	1956	339
852	1958	337
853	1961	335
854	1963	332
855	1965	330
856	1967	328
857	1970	326
858	1972	323
859	1974	321
860	1976	319
861	1979	316
862	1981	314
863	1984	312
864	1986	310
865	1988	307
866	1991	305
867	1993	303
868	1995	300
869	1997	298
870	2000	296
871	2002	293
872	2004	291
873	2006	289
874	2009	287
875	2011	284
876	2013	282
877	2016	280
878	2018	277
879	2020	275
880	2022	273
881	2024	270
882	2027	268
883	2029	266
884	2031	264
885	2034	261
886	2036	259
887	2038	257
888	2041	254
889	2043	252
890	2045	250
891	2048	247
892	2050	245
893	2052	243
894	2054	241
895	2056	238
896	2059	236
897	2061	234
898	2063	231
899	2066	229
900	2068	227
901	2070	224
902	2073	222
903	2075	220
904	2077	218
905	2079	215
906	2082	213
907	2084	211
908	2086	208
909	2089	206
910	2091	204
911	2093	202
912	2095	199
913	2097	197
914	2100	195
915	2102	192
916	2104	190
917	2107	188
918	2109	185
919	2111	183
920	2113	181
921	2116	179
922	2118	176
923	2120	174
924	2122	172
925	2124	169
926	2127	167
927	2129	165
928	2132	162
929	2134	160
930	2136	158
931	2139	156
932	2141	153
933	2143	151
934	2146	149
935	2148	146
936	2150	144
937	2152	142
938	2155	139
939	2157	137
940	2159	135
941	2161	133
942	2164	130
943	2166	128
944	2168	126
945	2171	123
946	2173	121
947	2175	119
948	2178	117
949	2180	114
950	2182	112
951	2185	110
952	2187	107
953	2189	105
954	2192	103
955	2194	101
956	2196	98
957	2199	96
958	2201	94
959	2203	91
960	2206	89
961	2208	87
962	2210	84
963	2213	82
964	2215	80
965	2217	78
966	2219	75
967	2222	73
968	2224	71
969	2227	68
970	2229	66
971	2231	64
972	2234	61
973	2236	59
974	2238	57
975	2240	55
976	2243	52
977	2245	50
978	2247	48
979	2250	45
980	2252	43
981	2254	41
982	2257	39
983	2259	36
984	2261	34
985	2264	32
986	2266	29
987	2269	27
988	2271	25
989	2273	22
990	2275	20
991	2278	18
992	2280	16
993	2282	13
994	2285	11
995	2287	9
996	2289	6
997	2292	4
998	2294	2
999	2296	0
