iter	Passed	Remaining
0	1	1144
1	2	1166
2	3	1104
3	4	1073
4	5	1057
5	6	1105
6	7	1096
7	8	1044
8	9	1036
9	10	1031
10	11	1001
11	11	981
12	12	981
13	13	960
14	14	962
15	15	962
16	16	962
17	17	963
18	18	962
19	19	959
20	20	958
21	21	957
22	22	955
23	23	953
24	24	953
25	25	953
26	26	952
27	27	951
28	28	951
29	29	951
30	30	949
31	31	949
32	32	948
33	33	948
34	34	946
35	35	944
36	36	943
37	37	943
38	38	942
39	39	941
40	40	941
41	41	940
42	42	939
43	43	942
44	44	941
45	45	940
46	46	940
47	47	939
48	48	938
49	49	939
50	50	940
51	51	941
52	52	941
53	53	940
54	54	940
55	55	939
56	56	937
57	57	935
58	58	935
59	59	933
60	60	933
61	61	929
62	62	928
63	63	926
64	64	925
65	65	923
66	65	918
67	66	918
68	67	916
69	68	915
70	69	915
71	70	914
72	72	914
73	73	914
74	74	912
75	74	911
76	76	911
77	77	910
78	78	909
79	78	908
80	79	907
81	80	906
82	81	905
83	82	904
84	83	903
85	84	902
86	85	900
87	86	899
88	87	898
89	88	897
90	89	896
91	90	895
92	91	894
93	92	893
94	93	892
95	94	891
96	95	890
97	96	889
98	97	888
99	98	887
100	99	886
101	100	886
102	101	885
103	102	884
104	103	882
105	104	881
106	105	880
107	106	879
108	107	877
109	108	876
110	109	876
111	110	875
112	111	874
113	112	873
114	113	872
115	114	870
116	115	869
117	116	868
118	117	867
119	118	866
120	119	865
121	120	864
122	121	862
123	121	861
124	122	860
125	123	859
126	124	858
127	125	857
128	126	856
129	127	855
130	128	854
131	129	853
132	130	852
133	131	851
134	132	850
135	133	849
136	134	848
137	135	847
138	136	845
139	137	844
140	138	843
141	139	842
142	140	841
143	141	841
144	142	840
145	143	840
146	144	839
147	145	838
148	146	838
149	147	837
150	148	837
151	149	836
152	150	835
153	151	834
154	152	833
155	153	832
156	154	831
157	155	830
158	156	829
159	157	828
160	158	827
161	159	826
162	160	825
163	161	824
164	162	823
165	163	822
166	164	822
167	165	821
168	166	820
169	167	819
170	168	817
171	169	816
172	170	815
173	171	814
174	172	813
175	173	812
176	174	811
177	175	811
178	176	810
179	177	809
180	178	808
181	179	808
182	180	807
183	181	806
184	182	804
185	183	803
186	184	802
187	185	801
188	186	800
189	187	798
190	188	796
191	189	795
192	190	794
193	190	793
194	192	792
195	193	791
196	194	791
197	195	790
198	196	789
199	197	788
200	198	787
201	199	786
202	200	786
203	201	786
204	202	785
205	203	784
206	204	783
207	205	782
208	206	781
209	207	780
210	208	779
211	209	778
212	210	777
213	211	776
214	212	775
215	213	774
216	214	773
217	215	772
218	216	771
219	217	769
220	218	768
221	219	767
222	220	766
223	220	765
224	221	764
225	222	763
226	223	762
227	224	761
228	225	760
229	226	759
230	227	758
231	228	756
232	229	755
233	230	754
234	231	753
235	232	752
236	233	751
237	234	750
238	235	749
239	236	748
240	237	747
241	238	746
242	239	745
243	240	744
244	241	743
245	242	742
246	243	741
247	244	740
248	245	739
249	246	738
250	247	737
251	248	736
252	249	735
253	250	734
254	251	733
255	252	732
256	253	731
257	254	730
258	255	729
259	256	728
260	257	727
261	258	726
262	258	725
263	259	724
264	260	723
265	261	722
266	262	721
267	263	720
268	264	719
269	265	718
270	266	717
271	267	716
272	268	715
273	269	714
274	270	712
275	271	710
276	271	709
277	273	709
278	274	708
279	275	707
280	275	706
281	276	705
282	277	704
283	278	703
284	279	702
285	280	701
286	281	700
287	282	699
288	283	698
289	284	696
290	285	696
291	286	695
292	287	694
293	288	693
294	289	692
295	290	691
296	291	690
297	292	689
298	293	688
299	294	687
300	295	686
301	296	685
302	297	684
303	298	683
304	299	682
305	300	681
306	301	680
307	302	679
308	303	678
309	304	677
310	305	676
311	306	675
312	307	674
313	308	673
314	309	672
315	310	671
316	311	670
317	312	669
318	313	668
319	314	667
320	315	666
321	316	665
322	317	664
323	318	663
324	319	662
325	320	661
326	321	660
327	322	659
328	323	658
329	324	657
330	325	656
331	325	655
332	326	654
333	327	653
334	328	652
335	329	651
336	330	650
337	331	649
338	332	648
339	333	647
340	334	646
341	335	645
342	336	644
343	337	643
344	338	642
345	339	641
346	340	640
347	341	639
348	342	638
349	343	637
350	344	636
351	345	635
352	346	634
353	347	633
354	348	632
355	349	631
356	350	630
357	351	629
358	352	628
359	353	627
360	353	626
361	354	625
362	355	624
363	356	623
364	357	621
365	358	620
366	359	619
367	360	618
368	361	617
369	362	616
370	363	615
371	364	614
372	365	613
373	366	612
374	367	611
375	368	610
376	369	610
377	370	609
378	371	608
379	372	607
380	373	606
381	374	605
382	375	605
383	376	603
384	377	602
385	378	602
386	379	601
387	380	600
388	381	599
389	382	598
390	383	597
391	384	596
392	385	595
393	386	594
394	387	593
395	388	592
396	389	591
397	390	590
398	391	590
399	392	589
400	393	588
401	394	587
402	396	586
403	397	585
404	398	585
405	399	584
406	400	583
407	401	582
408	402	581
409	403	580
410	404	579
411	405	578
412	406	577
413	407	576
414	408	576
415	409	575
416	410	574
417	411	572
418	412	571
419	413	570
420	414	569
421	415	568
422	416	567
423	417	566
424	418	565
425	418	564
426	419	563
427	420	562
428	421	561
429	422	560
430	423	559
431	424	557
432	425	556
433	426	555
434	427	554
435	428	553
436	429	552
437	429	551
438	430	550
439	431	549
440	432	548
441	433	547
442	434	546
443	435	545
444	436	544
445	437	543
446	438	542
447	439	542
448	441	541
449	442	540
450	442	539
451	443	538
452	444	537
453	445	536
454	446	535
455	447	534
456	448	533
457	449	532
458	450	531
459	451	530
